Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Panel de yeso_Plasterboard - 13 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.50,,,
Teja de concreto_Concrete roof tile,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.39,,,
Cristal plano_Double glazing - flat glass,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,101.00,,,
Cristal plano_Double glazing - flat glass; 4:12:4,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,101.00,,,
Cristal plano_Double glazing - flat glass; 6:6:6,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,108.00,,,
Cristal plano_Double glazing - flat glass; 6:12:6,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,108.00,,,
Cristal plano_Flat glass,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.00,,,
Cristal plano_Flat glass sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,15.70,,,
Cristal plano_Flat glass sheet - 4 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,21.00,,,
Cristal plano_Flat glass sheet - 5 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,26.20,,,
Cristal plano_Flat glass sheet - 6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,31.40,,,
Cristal plano_Flat glass sheet - 10 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,52.40,,,
Cristal plano_Flat glass sheet - 12 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,62.90,,,
Cristal laminado_Laminated glass,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.80,,,
Cristal laminado_Laminated glass sheet - 6.38 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,46.80,,,
Cristal laminado_Laminated glass sheet - 8.38 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,61.40,,,
Cristal laminado_Laminated glass sheet - 10.38 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,76.10,,,
Cristal laminado_Laminated glass sheet - 12.38 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,90.70,,,
Cristal templado_Double glazing - toughened glass,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,115.00,,,
Cristal templado_Double glazing - toughened glass; 4:12:4,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,115.00,,,
Cristal templado_Double glazing - toughened glass; 5:6:5,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,122.00,,,
Cristal templado_Double glazing - toughened glass; 5:12:5,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,122.00,,,
Cristal templado_Double glazing - toughened glass; 6:6:6,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,128.00,,,
Cristal templado_Double glazing - toughened glass; 6:12:6,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,128.00,,,
Cristal templado_Double glazing - toughened glass; 10:6:6,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,165.00,,,
Cristal templado_Double glazing - toughened glass; 10:6:10,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,202.00,,,
Cristal templado_Double glazing - toughened glass; 10:12:6,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,165.00,,,
Cristal templado_Double glazing - toughened glass; 10:12:10,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,202.00,,,
Cristal templado_Toughened glass,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.20,,,
Cristal templado_Toughened glass sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,17.10,,,
Cristal templado_Toughened glass sheet - 4 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,22.80,,,
Cristal templado_Toughened glass sheet - 5 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,28.50,,,
Cristal templado_Toughened glass sheet - 6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,34.20,,,
Cristal templado_Toughened glass sheet - 10 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,56.90,,,
Cristal templado_Toughened glass sheet - 12 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,68.30,,,
Aislamiento térmico de celulosa_Cellulose insulation,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.79,,,
Aislamiento térmico de celulosa_Cellulose insulation - 80 mm (R2),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.10,,,
Aislamiento térmico de celulosa_Cellulose insulation - 100 mm (R2.5),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.90,,,
Aislamiento térmico de aluminio_Aluminium foil insulation,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.90,,,
Aislamiento térmico de lana vidrio_Glasswool insulation,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,4.00,,,
Aislamiento térmico de lana vidrio_Glasswool insulation - 80 mm (R2),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,8.00,,,
Aislamiento térmico de lana vidrio_Glasswool insulation - 100 mm (R2.5),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,10.10,,,
Aislamiento térmico de lana vidrio_Rockwool insulation,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.80,,,
Aislamiento térmico de lana vidrio_Rockwool insulation - 80 mm (R2),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,21.10,,,
Aislamiento térmico de lana vidrio_Rockwool insulation - 100 mm (R2.5),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,26.40,,,
Aislamiento térmico de poliestireno_EPS/XPS insulation - 72 mm (R2),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,12.90,,,
Aislamiento térmico de poliestireno_EPS/XPS insulation - 90 mm (R2.5),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,16.20,,,
Aislamiento térmico de poliestireno_Polystyrene (EPS/XPS) insulation,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,8.00,,,
Aislamiento térmico de poliuretano_Polyurethane (PU) rigid foam insulation,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,17.50,,,
