Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Hoja de linóleo_Linoleum sheet - 4 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,21.20,,,
Policarbonato_Polycarbonate,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,14.00,,,
Hoja de policarbonato_Polycarbonate roofing sheet - 1 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,16.70,,,
Hoja de policarbonato_Polycarbonate roofing sheet - 2 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,33.50,,,
Hoja de policarbonato_Polycarbonate roofing sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,50.20,,,
Hoja de policarbonato_Polycarbonate roofing sheet - 6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,100.00,,,
Polimetilmetacrilato_Polymethyl methacrylate (PMMA),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,15.40,,,
Hoja de polimetilmetacrilato_PMMA sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,54.90,,,
Hoja de polimetilmetacrilato_PMMA sheet - 4 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,73.20,,,
Hoja de polimetilmetacrilato_PMMA sheet - 5 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,91.40,,,
Hoja de polimetilmetacrilato_PMMA sheet - 6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,110.00,,,
Hoja de polimetilmetacrilato_PMMA sheet - 8 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,146.00,,,
Hoja de polimetilmetacrilato_PMMA sheet - 10 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,183.00,,,
Hoja de polipropileno_Polypropylene (PP) sheet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,7.40,,,
Hoja de polipropileno_PP sheet - 2 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,13.40,,,
Hoja de polipropileno_PP sheet - 3 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,20.00,,,
Hoja de polipropileno_PP sheet - 4 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,26.70,,,
Hoja de polipropileno_PP sheet - 6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,40.10,,,
Hoja de polipropileno_PP sheet - 10 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,66.80,,,
Hoja de polipropileno_PP sheet - 12 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,80.20,,,
Hoja de polipropileno_PP sheet - 15 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,100.00,,,
Espuma de poliuretano_Polyurethane (PU) flexible foam,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,7.70,,,
Espuma de poliuretano_PU foam underlay - 7 mm; 64 kg/m³,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.40,,,
Espuma de poliuretano_PU foam underlay - 7 mm; 69 kg/m³,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3.70,,,
Espuma de poliuretano_PU foam underlay - 10 mm; 73 kg/m³,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,5.60,,,
Espuma de poliuretano_PU foam underlay - 10 mm; 123 kg/m³,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,9.40,,,
Película de PVC_Polyvinyl chloride (PVC) film,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,11.20,,,
Película de PVC_PVC film - 19 μm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.30,,,
Película de PVC_PVC film - 25 μm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.39,,,
Polivinilo no plastificado_Unplasticised polyvinyl chloride (uPVC),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,4.20,,,
Tubo de polivinilo_uPVC pipe - 21.35 mm outer dia.; 1.8 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.64,,,
Tubo de polivinilo_uPVC pipe - 60.25 mm outer dia.; 2.6 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2.70,,,
Tubo de polivinilo_uPVC pipe - 114.3 mm outer dia.; 4.85 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,9.70,,,
Tubo de polivinilo_uPVC pipe - 225.3 mm outer dia.; 11.1 mm thick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,43.20,,,
Ladrillo de barro_Clay brick,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.32,,,
Grava_Gravel,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.04,,,
Agregados reciclados_Recycled aggregate,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.01,,,
Arena_Sand,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.02,,,
Cerámica sanitaria_Sanitary ceramic,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.40,,,
Piedra sillar_Dimension stone,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.30,,,
Baldosa cerámica_Ceramic tile,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1.30,,,
Teja de barro_Clay roof tile,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.61,,,
Bloque de corcho_Cork slab,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,9.50,,,
Bloque de corcho_Cork slab - 6 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,6.80,,,
Bloque de corcho_Cork slab - 10 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,11.40,,,
Bloque de corcho_Cork slab - 12 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,13.60,,,
Bloque de corcho_Cork slab - 20 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,22.70,,,
Bloque de corcho_Cork slab - 50 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,56.80,,,
Madera dura_Hardwood,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,944.00,,,
Madera dura_Hardwood kiln-dried - dressed,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,2269.00,,,
Madera dura_Hardwood kiln-dried - structural,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1178.00,,,
Madera laminada cruzada_CLT - 60 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,38.70,,,
Madera laminada cruzada_CLT - 105 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,67.70,,,
Madera laminada cruzada_CLT - 175 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,113.00,,,
Madera laminada cruzada_Cross laminated timber (CLT),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,645.00,,,
Madera laminada encolada_Glued laminated timber (glulam),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1718.00,,,
Madera laminada encolada_Glulam outdoor,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1605.00,,,
Madera laminada en chapa_Laminated veneer lumber (LVL),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1059.00,,,
Madera_MDF sheet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,899.00,,,
Madera MDF con melamina_Melamine-coated MDF board - 16 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,18.70,,,
Madera MDF con melamina_Melamine-coated MDF board - 18 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,21.30,,,
Madera MDF con melamina_Melamine-coated MDF board - 25 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,30.50,,,
Madera de virutas_OSB sheet,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,751.00,,,
Madera de partículas_Particleboard,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,696.00,,,
Madera de partículas_Particleboard outdoor,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,813.00,,,
Madera contrachapada_Plywood,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,3680.00,,,
Madera contrachaplada_Plywood outdoor,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,1777.00,,,
Madera_SIP - 142 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,171.00,,,
Madera_SIP - 162 mm,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,195.00,,,
Madera estructural con aislamiento_Structural insulated panel (SIP),Potencial de Calentamiento Global,PCG 100,kg CO2 eq,135.00,,,
Madera blanda_Softwood,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,549.00,,,
Madera blanda_Softwood kiln-dried,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,583.00,,,
